name,short_name,gender,birth_date,birth_place,birth_country,country,country_code,discipline,discipline_code,residence_place,residence_country,sport_class,url
WAKASUGI Haruka,WAKASUGI H,Female,1995-08-23,TOKYO,Japan,Japan,JPN,Goalball,GBL,TOKOROZAWA,Japan,B1,../../../en/results/goalball/athlete-profile-n1687820-wakasugi-haruka.htm
WAKAYAMA Hidefumi,WAKAYAMA H,Male,1985-01-03,NUMAZU,Japan,Japan,JPN,Wheelchair Rugby,WRU,NUMAZU,Japan,1.0,../../../en/results/wheelchair-rugby/athlete-profile-n1687395-wakayama-hidefumi.htm
WALID EZZELDIN Esraa,WALID EZZELDIN E,Female,2002-07-27,,,Egypt,EGY,Goalball,GBL,,,B2,../../../en/results/goalball/athlete-profile-n1709051-walid-ezzeldin-esraa.htm
WALKER Daryl,WALKER D,Male,1981-12-29,"HOBOKEN, NJ",United States of America,United States of America,USA,Goalball,GBL,"FORT WAYNE, IN",United States of America,B2,../../../en/results/goalball/athlete-profile-n1717639-walker-daryl.htm
WALKER Gavin,WALKER G,Male,1983-10-13,ROTHERHAM,Great Britain,Great Britain,GBR,Wheelchair Rugby,WRU,ROTHERHAM,Great Britain,2.0,../../../en/results/wheelchair-rugby/athlete-profile-n1710700-walker-gavin.htm
WALLACE Jarryd,WALLACE J,Male,1990-05-15,"ATHENS, GA",United States of America,United States of America,USA,Athletics,ATH,"ATHENS, GA",United States of America,T64,../../../en/results/athletics/athlete-profile-n1662478-wallace-jarryd.htm
WALLACE Vanessa,WALLACE V,Female,1977-06-20,LONDON,Great Britain,Great Britain,GBR,Athletics,ATH,LONDON,Great Britain,F34,../../../en/results/athletics/athlete-profile-n1727829-wallace-vanessa.htm
WALSH Harrison,WALSH H,Male,1996-03-04,"MUMBLES, THE",Great Britain,Great Britain,GBR,Athletics,ATH,"MUMBLES, THE",Great Britain,F44,../../../en/results/athletics/athlete-profile-n1727830-walsh-harrison.htm
WALSH Jill,WALSH J,Female,1963-06-19,"ROCHESTER, NY",United States of America,United States of America,USA,Cycling Road,CRD,,,T2,../../../en/results/cycling-road/athlete-profile-n1690555-walsh-jill.htm
WALSH Sarah,WALSH S,Female,1998-07-14,"SYDNEY, NSW",Australia,Australia,AUS,Athletics,ATH,"CANBERRA, ACT",Australia,T64,../../../en/results/athletics/athlete-profile-n1415987-walsh-sarah.htm
WALTHER Kristel,WALTHER K,Female,1987-12-11,KERTEMINDE,Denmark,Denmark,DEN,Athletics,ATH,NORWAY,,F64,../../../en/results/athletics/athlete-profile-n1449618-walther-kristel.htm
WANDSCHNEIDER Thomas,WANDSCHNEIDER T,Male,1963-11-07,BUXTEHUDE,Germany,Germany,GER,Badminton,BDM,LINDHORST,Germany,WH1,../../../en/results/badminton/athlete-profile-n1363449-wandschneider-thomas.htm
WANG Danqin,WANG D,Female,1984-01-01,HANGZHOU,People's Republic of China,People's Republic of China,CHN,Canoe Sprint,CSP,HANGZHOU,People's Republic of China,KL2,../../../en/results/canoe-sprint/athlete-profile-n1798221-wang-danqin.htm
WANG Hao,WANG H,Male,1995-06-01,CHAOYANG,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,SHENYANG,People's Republic of China,T46,../../../en/results/athletics/athlete-profile-n1584595-wang-hao.htm
WANG Jiachao,WANG J,Male,1991-09-22,YUNNAN,People's Republic of China,People's Republic of China,CHN,Triathlon,TRI,KUNMING,People's Republic of China,PTS4,../../../en/results/triathlon/athlete-profile-n1345343-wang-jiachao.htm
WANG Jingang,WANG J,Male,1991-03-16,PINGDINGSHAN,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,PINGDINGSHAN,People's Republic of China,"S6,SM6",../../../en/results/swimming/athlete-profile-n1707370-wang-jingang.htm
WANG Li,WANG L,Female,1982-11-14,,,People's Republic of China,CHN,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1598862-wang-li.htm
WANG Lichao,WANG L,Male,1993-11-03,HANGZHOU,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,HANGZHOU,People's Republic of China,S5,../../../en/results/swimming/athlete-profile-n1548876-wang-lichao.htm
WANG Qiang,WANG Q,Male,1991-02-14,DONGYANG,People's Republic of China,People's Republic of China,CHN,Sitting Volleyball,VBS,CHINA,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1595352-wang-qiang.htm
WANG Rui,WANG R,Female,1993-08-29,SICHUAN,People's Republic of China,People's Republic of China,CHN,Table Tennis,TTE,,,7,../../../en/results/table-tennis/athlete-profile-n1643594-wang-rui.htm
WANG Shuo,WANG S,Male,1987-12-11,BAOSHAN,People's Republic of China,People's Republic of China,CHN,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1595571-wang-shuo.htm
WANG Sijun,WANG S,Male,1998-08-15,YAN'AN,People's Republic of China,People's Republic of China,CHN,Archery,ARC,CHINA,,W2,../../../en/results/archery/athlete-profile-n1720107-wang-sijun.htm
WANG Xiaomei,WANG X,Female,2000-08-20,,,People's Republic of China,CHN,Cycling Road,CRD,,,C3,../../../en/results/cycling-road/athlete-profile-n1711571-wang-xiaomei.htm
WANG Xiaomei,WANG X,Female,2000-08-20,,,People's Republic of China,CHN,Cycling Track,CTR,,,C3,../../../en/results/cycling-track/athlete-profile-n1711571-wang-xiaomei.htm
WANG Xinyi,WANG X,Female,2003-07-20,CANGZHOU,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,,,"S11,SM11",../../../en/results/swimming/athlete-profile-n1549433-wang-xinyi.htm
WANG Yanan,WANG Y,Female,1991-09-08,SHANXI,People's Republic of China,People's Republic of China,CHN,Sitting Volleyball,VBS,SHANGHAI,People's Republic of China,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1595819-wang-yanan.htm
WANG Yang,WANG Y,Male,2003-05-22,,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,,,T34,../../../en/results/athletics/athlete-profile-n1597602-wang-yang.htm
WANG Yanzhang,WANG Y,Male,1991-05-31,SHANGHAI,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,SHANGHAI,People's Republic of China,F34,../../../en/results/athletics/athlete-profile-n1595733-wang-yanzhang.htm
WANG Yue,WANG Y,Female,1997-02-12,,,People's Republic of China,CHN,Judo,JUD,CHINA,,B2,../../../en/results/judo/athlete-profile-n1639913-wang-yue.htm
WANG Zhen,WANG Z,Male,1992-07-26,,,People's Republic of China,CHN,Football 5-a-side,FB5,SHENZHEN,People's Republic of China,GK,../../../en/results/football-5-a-side/athlete-profile-n1714957-wang-zhen.htm
WANG Ziying,WANG Z,Female,1998-08-15,DAZHOU,People's Republic of China,People's Republic of China,CHN,Wheelchair Tennis,WTE,CHINA,,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1707963-wang-ziying.htm
WANGPHONPHATHANASIRI Phisit,WANGPHONPHATHANAS.,Male,1987-01-01,,,Thailand,THA,Table Tennis,TTE,,,8,../../../en/results/table-tennis/athlete-profile-n1728043-wangphonphathanasiri-phisit.htm
WANNEMACHER Tom,WANNEMACHER T,Male,2004-03-19,LEIPZIG,Germany,Germany,GER,Sitting Volleyball,VBS,LEIPZIG,Germany,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1374437-wannemacher-tom.htm
WARBURTON Gregg,WARBURTON G,Male,1996-11-19,MANCHESTER,Great Britain,Great Britain,GBR,Wheelchair Basketball,WBK,,,2.0,../../../en/results/wheelchair-basketball/athlete-profile-n1717427-warburton-gregg.htm
WARIAS Steffen,WARIAS S,Male,1985-01-01,TUBINGEN,Germany,Germany,GER,Cycling Road,CRD,ALLSCHWIL,Switzerland,C3,../../../en/results/cycling-road/athlete-profile-n1371981-warias-steffen.htm
WARN Jayden,WARN J,Male,1994-05-23,,,Australia,AUS,Wheelchair Rugby,WRU,"WARRAGUL, VIC",Australia,3.0,../../../en/results/wheelchair-rugby/athlete-profile-n1425592-warn-jayden.htm
WATANABE Yusuke,WATANABE Y,Male,1975-08-14,FUCHU,Japan,Japan,JPN,Shooting,SHO,FUCHU,Japan,SH1,../../../en/results/shooting/athlete-profile-n1688212-watanabe-yusuke.htm
WATCHOU KOUOKAM Sedric Roussel,WATCHOU KOUOKAM SR,Male,1986-02-19,,Cameroon,Hungary,HUN,Powerlifting,PWL,BUDAPEST,Hungary,PWL,../../../en/results/powerlifting/athlete-profile-n1728648-watchou-kouokam-sedric-roussel.htm
WATSON Benjamin,WATSON B,Male,1989-06-11,,,Great Britain,GBR,Cycling Road,CRD,GLOSSOP,Great Britain,C3,../../../en/results/cycling-road/athlete-profile-n1720669-watson-benjamin.htm
WATSON Janine,WATSON J,Female,1981-06-04,,Australia,Australia,AUS,Taekwondo,TKW,"BRISBANE, QLD",Australia,K44,../../../en/results/taekwondo/athlete-profile-n1407269-watson-janine.htm
WATSON Rachael,WATSON R,Female,1992-01-30,,Australia,Australia,AUS,Swimming,SWM,,,S4,../../../en/results/swimming/athlete-profile-n1498360-watson-rachael.htm
WATT Amy,WATT A,Female,1997-12-16,"STANFORD, CA",United States of America,Canada,CAN,Athletics,ATH,,,T47,../../../en/results/athletics/athlete-profile-n1521907-watt-amy.htm
WATZ Lina,WATZ L,Female,1996-05-22,HAMMARO,Sweden,Sweden,SWE,Swimming,SWM,KARLSTAD,Sweden,S9,../../../en/results/swimming/athlete-profile-n1646471-watz-lina.htm
WEBSTER Lora,WEBSTER L,Female,1986-08-26,"PHOENIX, AZ",United States of America,United States of America,USA,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1691691-webster-lora.htm
WEEKES Ben,WEEKES B,Male,1984-09-20,"SYDNEY, NSW",Australia,Australia,AUS,Wheelchair Tennis,WTE,"SYDNEY, NSW",Australia,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1407274-weekes-ben.htm
WEGGEMANN Mallory,WEGGEMANN M,Female,1989-03-26,"EAGAN, MN",United States of America,United States of America,USA,Swimming,SWM,"MINNEAPOLIS, MN",United States of America,"S7,SB6,SM7",../../../en/results/swimming/athlete-profile-n1690701-weggemann-mallory.htm
WEI Enlong,WEI E,Male,1986-12-23,CHANGDE,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,CHINA,,F46,../../../en/results/athletics/athlete-profile-n1596125-wei-enlong.htm
WEI LUN Chew,WEI LUN C,Male,1995-08-26,JOHOR BAHRU,Malaysia,Malaysia,MAS,Boccia,BOC,SERI KEMBANGAN,Malaysia,BC1,../../../en/results/boccia/athlete-profile-n1392757-wei-lun-chew.htm
WEINBERG Shraga,WEINBERG S,Male,1966-03-25,PETACH-TIKVA,Israel,Israel,ISR,Wheelchair Tennis,WTE,,,QT,../../../en/results/wheelchair-tennis/athlete-profile-n1283372-weinberg-shraga.htm
WEIR David,WEIR D,Male,1979-06-05,LONDON,Great Britain,Great Britain,GBR,Athletics,ATH,HASTINGS,Great Britain,T54,../../../en/results/athletics/athlete-profile-n1727801-weir-david.htm
WEISS Catharina,WEISS C,Female,2000-06-02,STUTTGART,Germany,Germany,GER,Wheelchair Basketball,WBK,GERMANY,,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1363466-weiss-catharina.htm
WELIN-RYKLIN Johanna,WELIN-RYKLIN J,Female,1984-06-24,PAJALA,Sweden,Germany,GER,Wheelchair Basketball,WBK,MUNICH,Germany,2.0,../../../en/results/wheelchair-basketball/athlete-profile-n1382228-welin-ryklin-johanna.htm
WELLS Sophie,WELLS S,Female,1990-05-05,LINCOLN,Great Britain,Great Britain,GBR,Equestrian,EQU,,,GV,../../../en/results/equestrian/athlete-profile-n1706410-wells-sophie.htm
WEN Xiaoyan,WEN X,Female,1997-10-12,YIYANG,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,,,T37,../../../en/results/athletics/athlete-profile-n1595273-wen-xiaoyan.htm
WERMESER Zsombor,WERMESER Z,Male,1998-03-23,,,Hungary,HUN,Cycling Road,CRD,,,C5,../../../en/results/cycling-road/athlete-profile-n1728753-wermeser-zsombor.htm
WERMESER Zsombor,WERMESER Z,Male,1998-03-23,,,Hungary,HUN,Cycling Track,CTR,,,C5,../../../en/results/cycling-track/athlete-profile-n1728753-wermeser-zsombor.htm
WETWITHAN Amnouy,WETWITHAN A,Female,1979-07-18,SUPHANBURI,Thailand,Thailand,THA,Badminton,BDM,BANGKOK,Thailand,WH2,../../../en/results/badminton/athlete-profile-n1730100-wetwithan-amnouy.htm
WEYERS Anrune,WEYERS A,Female,1992-11-03,BENONI,South Africa,South Africa,RSA,Athletics,ATH,CAPE TOWN,South Africa,T47,../../../en/results/athletics/athlete-profile-n1360901-weyers-anrune.htm
WHEELER Joshua,WHEELER J,Male,1980-04-14,"SACRAMENTO, CA",United States of America,United States of America,USA,Wheelchair Rugby,WRU,"MARANA, AZ",United States of America,2.5,../../../en/results/wheelchair-rugby/athlete-profile-n1691783-wheeler-joshua.htm
WHILEY Jordanne,WHILEY J,Female,1992-06-11,BIRMINGHAM,Great Britain,Great Britain,GBR,Wheelchair Tennis,WTE,OXFORD,Great Britain,WT,../../../en/results/wheelchair-tennis/athlete-profile-n1717295-whiley-jordanne.htm
WHITE Amelia,WHITE A,Female,1992-02-16,"SYDNEY, NSW",Australia,Australia,AUS,Equestrian,EQU,MUNSTER,Germany,GV,../../../en/results/equestrian/athlete-profile-n1416027-white-amelia.htm
WHITE Meimei,WHITE M,Female,2004-01-21,LIANYUNGANG,People's Republic of China,United States of America,USA,Swimming,SWM,"ATHENS, GA",United States of America,SB8,../../../en/results/swimming/athlete-profile-n1690697-white-meimei.htm
WHITE Samuel,WHITE S,Male,1987-06-19,"FRANKSTON, VIC",Australia,Australia,AUS,Wheelchair Basketball,WBK,,,1.0,../../../en/results/wheelchair-basketball/athlete-profile-n1425578-white-samuel.htm
WHITEHEAD Michael,WHITEHEAD M,Male,1975-11-25,"ESSEX, ON",Canada,Canada,CAN,Wheelchair Rugby,WRU,UNITED STATES,,3.0,../../../en/results/wheelchair-rugby/athlete-profile-n1562369-whitehead-michael.htm
WHITEHEAD Richard,WHITEHEAD R,Male,1976-07-19,NOTTINGHAM,Great Britain,Great Britain,GBR,Athletics,ATH,NOTTINGHAM,Great Britain,T61,../../../en/results/athletics/athlete-profile-n1727802-whitehead-richard.htm
WHITELEY Laurence,WHITELEY L,Male,1991-08-29,SCARBOROUGH,Great Britain,Great Britain,GBR,Rowing,ROW,CAVERSHAM,Great Britain,PR2,../../../en/results/rowing/athlete-profile-n1705766-whiteley-laurence.htm
WHITMORE Jamie,WHITMORE J,Female,1976-05-04,"AUKUM, CA",United States of America,United States of America,USA,Cycling Road,CRD,UNITED STATES,,C3,../../../en/results/cycling-road/athlete-profile-n1690549-whitmore-jamie.htm
WHITMORE Jamie,WHITMORE J,Female,1976-05-04,"AUKUM, CA",United States of America,United States of America,USA,Cycling Track,CTR,UNITED STATES,,C3,../../../en/results/cycling-track/athlete-profile-n1690549-whitmore-jamie.htm
WIDIASIH Ni Nengah,WIDIASIH NN,Female,1992-12-12,BALI,Indonesia,Indonesia,INA,Powerlifting,PWL,BALI,Indonesia,PWL,../../../en/results/powerlifting/athlete-profile-n1718905-widiasih-ni-nengah.htm
WIESENTHAL Heiko,WIESENTHAL H,Male,1975-02-12,MAYEN,Germany,Germany,GER,Sitting Volleyball,VBS,,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1364479-wiesenthal-heiko.htm
WIETECKI Marek,WIETECKI M,Male,1983-06-02,,,Poland,POL,Athletics,ATH,,,F12,../../../en/results/athletics/athlete-profile-n1720563-wietecki-marek.htm
WIGGS Emma,WIGGS E,Female,1980-06-14,LONDON,Great Britain,Great Britain,GBR,Canoe Sprint,CSP,NOTTINGHAM,Great Britain,"KL2,VL2",../../../en/results/canoe-sprint/athlete-profile-n1706103-wiggs-emma.htm
WILK Rafal,WILK R,Male,1974-12-09,LANCUT,Poland,Poland,POL,Cycling Road,CRD,RZESZOW,Poland,H4,../../../en/results/cycling-road/athlete-profile-n1712581-wilk-rafal.htm
WILLIAMS Jacob,WILLIAMS J,Male,1991-08-02,"MILWAUKEE, WI",United States of America,United States of America,USA,Wheelchair Basketball,WBK,"MILWAUKEE, WI",United States of America,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1691734-williams-jacob.htm
WILLIAMS Jillian,WILLIAMS J,Female,1997-03-05,"CORPUS CHRISTI, TX",United States of America,United States of America,USA,Sitting Volleyball,VBS,"ODEM, TX",United States of America,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1691686-williams-jillian.htm
WILLIAMS Laurie,WILLIAMS L,Female,1992-02-04,MANCHESTER,Great Britain,Great Britain,GBR,Wheelchair Basketball,WBK,MANCHESTER,Great Britain,2.5,../../../en/results/wheelchair-basketball/athlete-profile-n1717409-williams-laurie.htm
WILLIAMS Taleah,WILLIAMS T,Female,1997-02-21,"NORFOLK, VA",United States of America,United States of America,USA,Athletics,ATH,"OMAHA, NE",United States of America,T47,../../../en/results/athletics/athlete-profile-n1572943-williams-taleah.htm
WILLING Martina,WILLING M,Female,1959-10-03,PASEWALK,Germany,Germany,GER,Athletics,ATH,,,F56,../../../en/results/athletics/athlete-profile-n1399068-willing-martina.htm
WILSON Georgia,WILSON G,Female,1995-10-02,,,Great Britain,GBR,Equestrian,EQU,,,GII,../../../en/results/equestrian/athlete-profile-n1706413-wilson-georgia.htm
WILSON Ross,WILSON R,Male,1981-12-10,,,Canada,CAN,Cycling Road,CRD,"EDMONTON, AB",Canada,C1,../../../en/results/cycling-road/athlete-profile-n1525747-wilson-ross.htm
WILSON Ross,WILSON R,Male,1995-06-05,MAIDSTONE,Great Britain,Great Britain,GBR,Table Tennis,TTE,SHEFFIELD,Great Britain,8,../../../en/results/table-tennis/athlete-profile-n1698414-wilson-ross.htm
WIMMENHOEVE Xena,WIMMENHOEVE X,Female,2000-05-14,,,Netherlands,NED,Wheelchair Basketball,WBK,ARNHEM,Netherlands,4.0,../../../en/results/wheelchair-basketball/athlete-profile-n1708653-wimmenhoeve-xena.htm
WIMOLWAN Kittithat,WIMOLWAN K,Male,1997-08-15,,,Thailand,THA,Football 5-a-side,FB5,,,B1,../../../en/results/football-5-a-side/athlete-profile-n1718857-wimolwan-kittithat.htm
WISDOM LUNGRIN Jhan Carlos,WISDOM LUNGRIN JC,Male,1998-12-16,,Panama,Panama,PAN,Athletics,ATH,PANAMA CITY,Panama,T20,../../../en/results/athletics/athlete-profile-n1360631-wisdom-lungrin-jhan-carlos.htm
WISE Dallas,WISE D,Male,2000-12-14,,,United States of America,USA,Athletics,ATH,"COLUMBIA, SC",United States of America,T46,../../../en/results/athletics/athlete-profile-n1662401-wise-dallas.htm
WOLF Juliane,WOLF J,Female,1988-02-26,EISENHUTTENSTADT,Germany,Germany,GER,Table Tennis,TTE,FRANKFURT AM MAIN,Germany,8,../../../en/results/table-tennis/athlete-profile-n1401825-wolf-juliane.htm
WOLLERMANN Katherinne,WOLLERMANN K,Female,1992-08-12,CHIGUAYANTE,Chile,Chile,CHI,Canoe Sprint,CSP,CONCEPCION,Chile,KL1,../../../en/results/canoe-sprint/athlete-profile-n1312415-wollermann-katherinne.htm
WONG Jolan,WONG J,Female,1990-01-20,"EDMONTON, AB",Canada,Canada,CAN,Sitting Volleyball,VBS,"PEMBROKE, ON",Canada,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1553438-wong-jolan.htm
WONG Kar Gee,WONG KG,Male,1991-03-18,,Malaysia,Malaysia,MAS,Athletics,ATH,KOTA KINABALU,Malaysia,T13,../../../en/results/athletics/athlete-profile-n1392740-wong-kar-gee.htm
WONG Kwan Hang,WONG KH,Male,1992-05-19,,"Hong Kong, China","Hong Kong, China",HKG,Boccia,BOC,,,BC4,../../../en/results/boccia/athlete-profile-n1318804-wong-kwan-hang.htm
WONG Ting Ting,WONG TT,Female,2003-09-11,,"Hong Kong, China","Hong Kong, China",HKG,Table Tennis,TTE,"HONG KONG, CHINA",,11,../../../en/results/table-tennis/athlete-profile-n1312917-wong-ting-ting.htm
WONGCHOMPHU Methini,WONGCHOMPHU M,Female,1997-05-15,,,Thailand,THA,Judo,JUD,,,B1,../../../en/results/judo/athlete-profile-n1720121-wongchomphu-methini.htm
WOOD Stuart,WOOD S,Male,1994-01-31,,,Great Britain,GBR,Canoe Sprint,CSP,,,VL3,../../../en/results/canoe-sprint/athlete-profile-n1706113-wood-stuart.htm
WOODHALL Hunter,WOODHALL H,Male,1999-02-17,"CARTERSVILLE, GA",United States of America,United States of America,USA,Athletics,ATH,"FAYETTEVILLE, AR",United States of America,T62,../../../en/results/athletics/athlete-profile-n1662468-woodhall-hunter.htm
WOODS Melanie,WOODS M,Female,1994-08-12,,,Great Britain,GBR,Athletics,ATH,,,T54,../../../en/results/athletics/athlete-profile-n1923734-woods-melanie.htm
WOODS SR Regas,WOODS SR R,Male,1981-03-27,"GAINESVILLE, FL",United States of America,United States of America,USA,Athletics,ATH,,,T61,../../../en/results/athletics/athlete-profile-n1572946-woods-sr-regas.htm
WOUANDJI KEPMEGNI Yvan,WOUANDJI KEPMEGNI,Male,1993-04-28,DOUALA,Cameroon,France,FRA,Football 5-a-side,FB5,SEVRAN,France,B1,../../../en/results/football-5-a-side/athlete-profile-n1358047-wouandji-kepmegni-yvan.htm
WRIGHT Katelyn,WRIGHT K,Female,1990-01-03,"EDMONTON, AB",Canada,Canada,CAN,Sitting Volleyball,VBS,"EDMONTON, AB",Canada,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1553439-wright-katelyn.htm
WRIGHT Tanner,WRIGHT T,Male,1997-08-24,"FORT WORTH, TX",United States of America,United States of America,USA,Athletics,ATH,"ABILENE, TX",United States of America,T46,../../../en/results/athletics/athlete-profile-n1662615-wright-tanner.htm
WU Chunyan,WU C,Female,1989-12-06,XIAN,People's Republic of China,People's Republic of China,CHN,Archery,ARC,,,W2,../../../en/results/archery/athlete-profile-n1720595-wu-chunyan.htm
WU Guoqing,WU G,Male,1995-02-28,,,People's Republic of China,CHN,Cycling Track,CTR,,,C4,../../../en/results/cycling-track/athlete-profile-n1711553-wu-guoqing.htm
WU Guoshan,WU G,Male,1983-01-08,GUILIN,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,GUILIN,People's Republic of China,F57,../../../en/results/athletics/athlete-profile-n1596165-wu-guoshan.htm
WU Limin,WU L,Male,1990-02-07,,,People's Republic of China,CHN,Football 5-a-side,FB5,,,GK,../../../en/results/football-5-a-side/athlete-profile-n1714960-wu-limin.htm
WU Qing,WU Q,Female,1988-03-25,QIQIHAR,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,HARBIN,People's Republic of China,F36,../../../en/results/athletics/athlete-profile-n1596586-wu-qing.htm
XIAO Cuijuan,XIAO C,Female,1986-04-19,FUZHOU,People's Republic of China,People's Republic of China,CHN,Powerlifting,PWL,FUZHOU,People's Republic of China,PWL,../../../en/results/powerlifting/athlete-profile-n1710944-xiao-cuijuan.htm
XIAO Rong,XIAO R,Female,1993-08-24,,,People's Republic of China,CHN,Wheelchair Fencing,WFE,,,B,../../../en/results/wheelchair-fencing/athlete-profile-n1650682-xiao-rong.htm
XIE Maosan,XIE M,Female,1986-03-16,WENZHOU,People's Republic of China,People's Republic of China,CHN,Canoe Sprint,CSP,,,KL1,../../../en/results/canoe-sprint/athlete-profile-n1708273-xie-maosan.htm
XIONG Guiyan,XIONG G,Female,1976-03-06,,People's Republic of China,People's Republic of China,CHN,Table Tennis,TTE,,,9,../../../en/results/table-tennis/athlete-profile-n1722731-xiong-guiyan.htm
XU Haijiao,XU H,Male,1994-05-24,HANGZHOU,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,HANGZHOU,People's Republic of China,"S8,SB8,SM8",../../../en/results/swimming/athlete-profile-n1548999-xu-haijiao.htm
XU Jialing,XU J,Female,2002-08-25,NINGBO,People's Republic of China,People's Republic of China,CHN,Swimming,SWM,NINGBO,People's Republic of China,"S9,SM9",../../../en/results/swimming/athlete-profile-n1544453-xu-jialing.htm
XU Lili,XU L,Female,1981-02-01,CHIFENG,People's Republic of China,People's Republic of China,CHN,Powerlifting,PWL,CHIFENG,People's Republic of China,PWL,../../../en/results/powerlifting/athlete-profile-n1710959-xu-lili.htm
XU Mian,XU M,Female,1997-09-10,HUAI'AN,People's Republic of China,People's Republic of China,CHN,Athletics,ATH,HUAI'AN,People's Republic of China,F57,../../../en/results/athletics/athlete-profile-n1596747-xu-mian.htm
XU Tingting,XU T,Female,1990-01-11,,,People's Republic of China,CHN,Badminton,BDM,,,WH2,../../../en/results/badminton/athlete-profile-n1716599-xu-tingting.htm
XU Yixiao,XU Y,Female,1983-08-04,,,People's Republic of China,CHN,Sitting Volleyball,VBS,CHINA,,VS2,../../../en/results/sitting-volleyball/athlete-profile-n1595919-xu-yixiao.htm
XU Zengbing,XU Z,Male,1996-08-29,JINHUA,People's Republic of China,People's Republic of China,CHN,Sitting Volleyball,VBS,CHINA,,VS1,../../../en/results/sitting-volleyball/athlete-profile-n1595469-xu-zengbing.htm
XUE Juan,XUE J,Female,1989-10-20,BEIJING,People's Republic of China,People's Republic of China,CHN,Table Tennis,TTE,BEIJING,People's Republic of China,3,../../../en/results/table-tennis/athlete-profile-n1643267-xue-juan.htm
YADAV Prachi,YADAV P,Female,1995-05-29,,,India,IND,Canoe Sprint,CSP,BHOPAL,India,VL2,../../../en/results/canoe-sprint/athlete-profile-n1784142-yadav-prachi.htm
YAGI Katsuyoshi,YAGI K,Male,1990-06-17,TOYOHASHI,Japan,Japan,JPN,Table Tennis,TTE,TOYOHASHI,Japan,7,../../../en/results/table-tennis/athlete-profile-n1717095-yagi-katsuyoshi.htm
YAKUT Mehmet,YAKUT M,Male,1989-03-15,VAN,Turkey,Turkey,TUR,Taekwondo,TKW,ISTANBUL,Turkey,K43,../../../en/results/taekwondo/athlete-profile-n1727542-yakut-mehmet.htm
YAM Kwok Fan,YAM KF,Female,1997-08-07,GUANGDONG,People's Republic of China,"Hong Kong, China",HKG,Athletics,ATH,HONG KONG,People's Republic of China,T36,../../../en/results/athletics/athlete-profile-n1294223-yam-kwok-fan.htm
YAMAC Muharrem Korhan,YAMAC MK,Male,1972-10-31,ANKARA,Turkey,Turkey,TUR,Shooting,SHO,,,SH1,../../../en/results/shooting/athlete-profile-n1729567-yamac-muharrem-korhan.htm
YAMADA Miyuki,YAMADA M,Female,2006-09-15,,,Japan,JPN,Swimming,SWM,,,S2,../../../en/results/swimming/athlete-profile-n1720296-yamada-miyuki.htm
YAMADA Takuro,YAMADA T,Male,1991-04-12,KOBE,Japan,Japan,JPN,Swimming,SWM,,,"SB8,SM9,S9",../../../en/results/swimming/athlete-profile-n1720294-yamada-takuro.htm
YAMAGUCHI Naohide,YAMAGUCHI N,Male,2000-10-28,IMABARI,Japan,Japan,JPN,Swimming,SWM,IMABARI,Japan,"S14,SB14,SM14",../../../en/results/swimming/athlete-profile-n1720293-yamaguchi-naohide.htm
YAMAGUCHI Ryoga,YAMAGUCHI R,Male,1997-01-05,NODA,Japan,Japan,JPN,Goalball,GBL,TORIDE,Japan,B1,../../../en/results/goalball/athlete-profile-n1687821-yamaguchi-ryoga.htm
YAMAMOTO Atsushi,YAMAMOTO A,Male,1982-04-19,KAKEGAWA,Japan,Japan,JPN,Athletics,ATH,IZUMI,Japan,T63,../../../en/results/athletics/athlete-profile-n1728181-yamamoto-atsushi.htm
YAMAMOTO Moeko,YAMAMOTO M,Female,1998-01-27,OKAZAKI,Japan,Japan,JPN,Athletics,ATH,OKAZAKI,Japan,T20,../../../en/results/athletics/athlete-profile-n1727134-yamamoto-moeko.htm
