medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Gold Medal,1,2021-09-04 00:00:00.0,da PAIXAO BARROS G,da PAIXAO BARROS Gledson,M,../../../en/results/football-5-a-side/athlete-profile-n1353121-da-paixao-barros-gledson.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,VIEIRA SOARES J,VIEIRA SOARES Jardiel,M,../../../en/results/football-5-a-side/athlete-profile-n1353122-vieira-soares-jardiel.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,da SILVA T,da SILVA Tiago,M,../../../en/results/football-5-a-side/athlete-profile-n1353124-da-silva-tiago.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,MENDES R,MENDES Raimundo,M,../../../en/results/football-5-a-side/athlete-profile-n1353127-mendes-raimundo.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,RAMOS D,RAMOS Damiao,M,../../../en/results/football-5-a-side/athlete-profile-n1353128-ramos-damiao.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,GONCALVES L,GONCALVES Luan,M,../../../en/results/football-5-a-side/athlete-profile-n1353130-goncalves-luan.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,da COSTA COELHO B.,da COSTA COELHO BUMUSSA Matheus,M,../../../en/results/football-5-a-side/athlete-profile-n1353131-da-costa-coelho-bumussa-matheus.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,ALVES R,ALVES Ricardo,M,../../../en/results/football-5-a-side/athlete-profile-n1385620-alves-ricardo.htm,Men,Brazil,BRA,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,ACCARDI F,ACCARDI Federico,M,../../../en/results/football-5-a-side/athlete-profile-n1690089-accardi-federico.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,DELDO GARCIA A,DELDO GARCIA Angel,M,../../../en/results/football-5-a-side/athlete-profile-n1690094-deldo-garcia-angel.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,ESPINILLO M,ESPINILLO Maximiliano,M,../../../en/results/football-5-a-side/athlete-profile-n1690511-espinillo-maximiliano.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,HEREDIA N,HEREDIA Nahuel,M,../../../en/results/football-5-a-side/athlete-profile-n1693065-heredia-nahuel.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,PANIZZA M,PANIZZA Marcelo,M,../../../en/results/football-5-a-side/athlete-profile-n1693286-panizza-marcelo.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,PEREYRA B,PEREYRA Braian,M,../../../en/results/football-5-a-side/athlete-profile-n1693326-pereyra-braian.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,VELIZ N,VELIZ Nicolas,M,../../../en/results/football-5-a-side/athlete-profile-n1693374-veliz-nicolas.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,LENCINA D,LENCINA Dario,M,../../../en/results/football-5-a-side/athlete-profile-n1693378-lencina-dario.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,MULECK G,MULECK German,M,../../../en/results/football-5-a-side/athlete-profile-n1693414-muleck-german.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Silver Medal,2,2021-09-04 00:00:00.0,PADILLA F,PADILLA Froilan,M,../../../en/results/football-5-a-side/athlete-profile-n1711826-padilla-froilan.htm,Men,Argentina,ARG,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,AIT AL HAKEM A,AIT AL HAKEM Abdellali,M,../../../en/results/football-5-a-side/athlete-profile-n1725774-ait-al-hakem-abdellali.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,HADIMI A,HADIMI Ayoub,M,../../../en/results/football-5-a-side/athlete-profile-n1484405-hadimi-ayoub.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,EL-MSELEK S,EL-MSELEK Said,M,../../../en/results/football-5-a-side/athlete-profile-n1484364-el-mselek-said.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,GHILLI H,GHILLI Houssam,M,../../../en/results/football-5-a-side/athlete-profile-n1484366-ghilli-houssam.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,BOUGHLAM K,BOUGHLAM Kamal,M,../../../en/results/football-5-a-side/athlete-profile-n1484372-boughlam-kamal.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,AIT BAJJA E,AIT BAJJA Elhabib,M,../../../en/results/football-5-a-side/athlete-profile-n1484373-ait-bajja-elhabib.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,BERKA I,BERKA Imad,M,../../../en/results/football-5-a-side/athlete-profile-n1484387-berka-imad.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,HATTAB A,HATTAB Abderrazak,M,../../../en/results/football-5-a-side/athlete-profile-n1484389-hattab-abderrazak.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,BARA S,BARA Samir,M,../../../en/results/football-5-a-side/athlete-profile-n1484266-bara-samir.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Bronze Medal,3,2021-09-04 00:00:00.0,SNISLA Z,SNISLA Zouhair,M,../../../en/results/football-5-a-side/athlete-profile-n1484280-snisla-zouhair.htm,Men,Morocco,MAR,Football 5-a-side,FB5
Gold Medal,1,2021-09-04 00:00:00.0,NARWAL M,NARWAL Manish,O,../../../en/results/shooting/athlete-profile-n1655168-narwal-manish.htm,P4 - Mixed 50m Pistol SH1,India,IND,Shooting,SHO
Silver Medal,2,2021-09-04 00:00:00.0,SINGHRAJ,SINGHRAJ,O,../../../en/results/shooting/athlete-profile-n1655211-singhraj.htm,P4 - Mixed 50m Pistol SH1,India,IND,Shooting,SHO
Bronze Medal,3,2021-09-04 00:00:00.0,MALYSHEV S,MALYSHEV Sergey,O,../../../en/results/shooting/athlete-profile-n1346738-malyshev-sergey.htm,P4 - Mixed 50m Pistol SH1,RPC,RPC,Shooting,SHO
Gold Medal,1,2021-09-04 00:00:00.0,RISTIC D,RISTIC Dragan,O,../../../en/results/shooting/athlete-profile-n1725487-ristic-dragan.htm,R9 - Mixed 50m Rifle Prone SH2,Serbia,SRB,Shooting,SHO
Silver Medal,2,2021-09-04 00:00:00.0,SAVANOVIC Z,SAVANOVIC Zdravko,O,../../../en/results/shooting/athlete-profile-n1725505-savanovic-zdravko.htm,R9 - Mixed 50m Rifle Prone SH2,Serbia,SRB,Shooting,SHO
Bronze Medal,3,2021-09-04 00:00:00.0,KOVALCHUK V,KOVALCHUK Vasyl,O,../../../en/results/shooting/athlete-profile-n1378459-kovalchuk-vasyl.htm,R9 - Mixed 50m Rifle Prone SH2,Ukraine,UKR,Shooting,SHO
Gold Medal,1,2021-09-04 00:00:00.0,RAMEZANI GERAKOEI,RAMEZANI GERAKOEI Morteza,M,../../../en/results/sitting-volleyball/athlete-profile-n1561773-ramezani-gerakoei-morteza.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,MEHRZADSELAKJANI M,MEHRZADSELAKJANI Morteza,M,../../../en/results/sitting-volleyball/athlete-profile-n1561893-mehrzadselakjani-morteza.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,ALI POUR M,ALI POUR Meisam,M,../../../en/results/sitting-volleyball/athlete-profile-n1561894-ali-pour-meisam.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,SALEHIHAJIKOLAEI R,SALEHIHAJIKOLAEI Ramezan,M,../../../en/results/sitting-volleyball/athlete-profile-n1516976-salehihajikolaei-ramezan.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,LASHKARISANAMI M,LASHKARISANAMI Majid,M,../../../en/results/sitting-volleyball/athlete-profile-n1521216-lashkarisanami-majid.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,MEHRAVAN M,MEHRAVAN Mehrzad,M,../../../en/results/sitting-volleyball/athlete-profile-n1521501-mehravan-mehrzad.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,GOLESTANI H,GOLESTANI Hossein,M,../../../en/results/sitting-volleyball/athlete-profile-n1521508-golestani-hossein.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,ALIPOURIAN D,ALIPOURIAN Davoud,M,../../../en/results/sitting-volleyball/athlete-profile-n1561676-alipourian-davoud.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,BIGDELI S,BIGDELI Sadegh,M,../../../en/results/sitting-volleyball/athlete-profile-n1561736-bigdeli-sadegh.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,HOSSEINI JED SMH,HOSSEINI JED Seyed Mohammad Hossein,M,../../../en/results/sitting-volleyball/athlete-profile-n1516688-hosseini-jed-seyed-mohammad-hossein.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,BABADI M,BABADI Mahdi,M,../../../en/results/sitting-volleyball/athlete-profile-n1516733-babadi-mahdi.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,NEMATI M,NEMATI Mohammad,M,../../../en/results/sitting-volleyball/athlete-profile-n1516806-nemati-mohammad.htm,Men,Islamic Republic of Iran,IRI,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,VOLKOV A,VOLKOV Aleksei,M,../../../en/results/sitting-volleyball/athlete-profile-n1292234-volkov-aleksei.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,VOLOSNIKOV E,VOLOSNIKOV Evgenii,M,../../../en/results/sitting-volleyball/athlete-profile-n1292235-volosnikov-evgenii.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,ZINNATULLIN I,ZINNATULLIN Ilnar,M,../../../en/results/sitting-volleyball/athlete-profile-n1292236-zinnatullin-ilnar.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,KRUPIN A,KRUPIN Anatolii,M,../../../en/results/sitting-volleyball/athlete-profile-n1292238-krupin-anatolii.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,LAVRINOVICH A,LAVRINOVICH Andrei,M,../../../en/results/sitting-volleyball/athlete-profile-n1292239-lavrinovich-andrei.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,MILENIN V,MILENIN Viktor,M,../../../en/results/sitting-volleyball/athlete-profile-n1292240-milenin-viktor.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,PANKRATOV V,PANKRATOV Vladimir,M,../../../en/results/sitting-volleyball/athlete-profile-n1292243-pankratov-vladimir.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,POZDEEV S,POZDEEV Sergei,M,../../../en/results/sitting-volleyball/athlete-profile-n1292244-pozdeev-sergei.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,REZNICHENKO A,REZNICHENKO Aleksandr,M,../../../en/results/sitting-volleyball/athlete-profile-n1292245-reznichenko-aleksandr.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,SAVICHEV A,SAVICHEV Aleksandr,M,../../../en/results/sitting-volleyball/athlete-profile-n1292246-savichev-aleksandr.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,SHESTAKOV D,SHESTAKOV Denis,M,../../../en/results/sitting-volleyball/athlete-profile-n1292247-shestakov-denis.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Silver Medal,2,2021-09-04 00:00:00.0,BAICHIK A,BAICHIK Aleksandr,M,../../../en/results/sitting-volleyball/athlete-profile-n1293707-baichik-aleksandr.htm,Men,RPC,RPC,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,GODINJAK I,GODINJAK Ismet,M,../../../en/results/sitting-volleyball/athlete-profile-n1439126-godinjak-ismet.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,CANCAR N,CANCAR Nizam,M,../../../en/results/sitting-volleyball/athlete-profile-n1439242-cancar-nizam.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,BRKIC J,BRKIC Jasmin,M,../../../en/results/sitting-volleyball/athlete-profile-n1439246-brkic-jasmin.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,DURAN M,DURAN Mirzet,M,../../../en/results/sitting-volleyball/athlete-profile-n1762596-duran-mirzet.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,ALIBASIC S,ALIBASIC Safet,M,../../../en/results/sitting-volleyball/athlete-profile-n1762597-alibasic-safet.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,MEDIC A,MEDIC Asim,M,../../../en/results/sitting-volleyball/athlete-profile-n1391225-medic-asim.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,CRNOBRNJA S,CRNOBRNJA Stevan,M,../../../en/results/sitting-volleyball/athlete-profile-n1391297-crnobrnja-stevan.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,DELALIC S,DELALIC Sabahudin,M,../../../en/results/sitting-volleyball/athlete-profile-n1439041-delalic-sabahudin.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,MANKO A,MANKO Adnan,M,../../../en/results/sitting-volleyball/athlete-profile-n1439047-manko-adnan.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,JUSUFOVIC E,JUSUFOVIC Ermin,M,../../../en/results/sitting-volleyball/athlete-profile-n1439093-jusufovic-ermin.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Bronze Medal,3,2021-09-04 00:00:00.0,HAMZIC D,HAMZIC Dzevad,M,../../../en/results/sitting-volleyball/athlete-profile-n1439122-hamzic-dzevad.htm,Men,Bosnia and Herzegovina,BIH,Sitting Volleyball,VBS
Gold Medal,1,2021-09-04 00:00:00.0,AZIZIAGHDAM A,AZIZIAGHDAM Asghar,M,../../../en/results/taekwondo/athlete-profile-n1456942-aziziaghdam-asghar.htm,Men K44 +75kg,Islamic Republic of Iran,IRI,Taekwondo,TKW
Silver Medal,2,2021-09-04 00:00:00.0,MIKULIC I,MIKULIC Ivan,M,../../../en/results/taekwondo/athlete-profile-n1309752-mikulic-ivan.htm,Men K44 +75kg,Croatia,CRO,Taekwondo,TKW
Bronze Medal,3,2021-09-04 00:00:00.0,ATAEV Z,ATAEV Zainutdin,M,../../../en/results/taekwondo/athlete-profile-n1353659-ataev-zainutdin.htm,Men K44 +75kg,RPC,RPC,Taekwondo,TKW
Bronze Medal,3,2021-09-04 00:00:00.0,MEDELL E,MEDELL Evan,M,../../../en/results/taekwondo/athlete-profile-n1740288-medell-evan.htm,Men K44 +75kg,United States of America,USA,Taekwondo,TKW
Gold Medal,1,2021-09-04 00:00:00.0,NAIMOVA G,NAIMOVA Guljonoy,W,../../../en/results/taekwondo/athlete-profile-n1732330-naimova-guljonoy.htm,Women K44 +58kg,Uzbekistan,UZB,Taekwondo,TKW
Silver Medal,2,2021-09-04 00:00:00.0,BEZERRA de MENEZES,BEZERRA de MENEZES Debora,W,../../../en/results/taekwondo/athlete-profile-n1361655-bezerra-de-menezes-debora.htm,Women K44 +58kg,Brazil,BRA,Taekwondo,TKW
Bronze Medal,3,2021-09-04 00:00:00.0,WATSON J,WATSON Janine,W,../../../en/results/taekwondo/athlete-profile-n1407269-watson-janine.htm,Women K44 +58kg,Australia,AUS,Taekwondo,TKW
Bronze Medal,3,2021-09-04 00:00:00.0,TRUESDALE A,TRUESDALE Amy,W,../../../en/results/taekwondo/athlete-profile-n1552863-truesdale-amy.htm,Women K44 +58kg,Great Britain,GBR,Taekwondo,TKW
Gold Medal,1,2021-09-04 00:00:00.0,van der SPRONG J,van der SPRONG Julia,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708647-van-der-sprong-julia.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,PRONK S,PRONK Saskia,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708648-pronk-saskia.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,de ROOIJ C,de ROOIJ Carina,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708650-de-rooij-carina.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,VISSER J,VISSER Jitske,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708651-visser-jitske.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,TAGGENBROCK A,TAGGENBROCK Anouk,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708652-taggenbrock-anouk.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,WIMMENHOEVE X,WIMMENHOEVE Xena,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708653-wimmenhoeve-xena.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,van HEES S,van HEES Sylvana,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708640-van-hees-sylvana.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,BEIJER M,BEIJER Mariska,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708641-beijer-mariska.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,ARTS I,ARTS Ilse,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708642-arts-ilse.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,FRELINK L,FRELINK Lindsay,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708643-frelink-lindsay.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,KORVER C,KORVER Cher,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708645-korver-cher.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,KRAMER B,KRAMER Bo,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708646-kramer-bo.htm,Women,Netherlands,NED,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,DAI J,DAI Jiameng,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708146-dai-jiameng.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,DENG M,DENG Mingzhu,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708265-deng-mingzhu.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,HUANG X,HUANG Xiaolian,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708282-huang-xiaolian.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,LEI T,LEI Tianjiao,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708291-lei-tianjiao.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,LIN S,LIN Suiling,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708300-lin-suiling.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,LYU G,LYU Guidi,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708329-lyu-guidi.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,CHEN M,CHEN Meier,W,../../../en/results/wheelchair-basketball/athlete-profile-n1709106-chen-meier.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,CHEN W,CHEN Wenli,W,../../../en/results/wheelchair-basketball/athlete-profile-n1709108-chen-wenli.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,YANG Y,YANG Yan,W,../../../en/results/wheelchair-basketball/athlete-profile-n1709111-yang-yan.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,ZHANG X,ZHANG Xuemei,W,../../../en/results/wheelchair-basketball/athlete-profile-n1707581-zhang-xuemei.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,CHEN X,CHEN Xuejing,W,../../../en/results/wheelchair-basketball/athlete-profile-n1707584-chen-xuejing.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Silver Medal,2,2021-09-04 00:00:00.0,ZHANG T,ZHANG Tonglei,W,../../../en/results/wheelchair-basketball/athlete-profile-n1708038-zhang-tonglei.htm,Women,People's Republic of China,CHN,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,RYAN C,RYAN Courtney,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691716-ryan-courtney.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,HUNTER D,HUNTER Darlene,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691718-hunter-darlene.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,GONZALEZ I,GONZALEZ Ixhelt,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691732-gonzalez-ixhelt.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,ASLAKSON J,ASLAKSON Josie,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691744-aslakson-josie.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,EATON K,EATON Kaitlyn,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691745-eaton-kaitlyn.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,ZURBRUGG L,ZURBRUGG Lindsey,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691746-zurbrugg-lindsey.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,BAULEKE A,BAULEKE Abigail,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691704-bauleke-abigail.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,IBANEZ A,IBANEZ Alejandra,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691706-ibanez-alejandra.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,MOODY B,MOODY Bailey,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691710-moody-bailey.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,SCHNEIDER N,SCHNEIDER Natalie,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691752-schneider-natalie.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,HOLLERMANN R,HOLLERMANN Rose,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691756-hollermann-rose.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Bronze Medal,3,2021-09-04 00:00:00.0,VORIS Z,VORIS Zoe,W,../../../en/results/wheelchair-basketball/athlete-profile-n1691763-voris-zoe.htm,Women,United States of America,USA,Wheelchair Basketball,WBK
Gold Medal,1,2021-09-04 00:00:00.0,KUNIEDA S,KUNIEDA Shingo,M,../../../en/results/wheelchair-tennis/athlete-profile-n1312842-kunieda-shingo.htm,Men's Singles,Japan,JPN,Wheelchair Tennis,WTE
Silver Medal,2,2021-09-04 00:00:00.0,EGBERINK T,EGBERINK Tom,M,../../../en/results/wheelchair-tennis/athlete-profile-n1705966-egberink-tom.htm,Men's Singles,Netherlands,NED,Wheelchair Tennis,WTE
Bronze Medal,3,2021-09-04 00:00:00.0,REID G,REID Gordon,M,../../../en/results/wheelchair-tennis/athlete-profile-n1717291-reid-gordon.htm,Men's Singles,Great Britain,GBR,Wheelchair Tennis,WTE
Gold Medal,1,2021-09-04 00:00:00.0,ALCOTT D,ALCOTT Dylan,O,../../../en/results/wheelchair-tennis/athlete-profile-n1407270-alcott-dylan.htm,Quad Singles,Australia,AUS,Wheelchair Tennis,WTE
Silver Medal,2,2021-09-04 00:00:00.0,SCHRODER S,SCHRODER Sam,O,../../../en/results/wheelchair-tennis/athlete-profile-n1705971-schroder-sam.htm,Quad Singles,Netherlands,NED,Wheelchair Tennis,WTE
Gold Medal,1,2021-09-04 00:00:00.0,de GROOT D,de GROOT Diede,W,../../../en/results/wheelchair-tennis/athlete-profile-n1705967-de-groot-diede.htm,Women's Doubles,Netherlands,NED,Wheelchair Tennis,WTE
Gold Medal,1,2021-09-04 00:00:00.0,van KOOT A,van KOOT Aniek,W,../../../en/results/wheelchair-tennis/athlete-profile-n1705968-van-koot-aniek.htm,Women's Doubles,Netherlands,NED,Wheelchair Tennis,WTE
Silver Medal,2,2021-09-04 00:00:00.0,SHUKER L,SHUKER Lucy,W,../../../en/results/wheelchair-tennis/athlete-profile-n1717294-shuker-lucy.htm,Women's Doubles,Great Britain,GBR,Wheelchair Tennis,WTE
