name,gender,country,athlete_index,athletes_sent,athletes_total,athlete_%
DAL FARRA Franco,Male,Argentina,1,2,6,33.33333333333333
DALOGA Marek,Male,Slovakia,1,37,50,74.0
DANEK Lukas,Male,Czech Republic,1,59,115,51.30434782608696
DANNISI Aoxibofu,Male,People's Republic of China,1,95,182,52.197802197802204
DANO Marko,Male,Slovakia,1,37,50,74.0
DARENSKYI Artem,Male,Ukraine,1,24,46,52.17391304347826
DAROCZI Nicolae Ciprian,Male,Romania,1,13,21,61.904761904761905
DARZINS Lauris,Male,Latvia,1,50,61,81.9672131147541
DARZNIEKS Arturs,Male,Latvia,1,50,61,81.9672131147541
DAUGAVINS Kaspars,Male,Latvia,1,50,61,81.9672131147541
DAVIES Oliver,Male,Great Britain,1,27,49,55.10204081632652
DAWSON Casey,Male,United States of America,1,116,225,51.55555555555556
de ALIPRANDINI Luca,Male,Italy,1,72,119,60.50420168067227
de BLOIS Glenn,Male,Netherlands,1,21,41,51.21951219512195
de BRUIN Ivo,Male,Netherlands,1,21,41,51.21951219512195
de CAMPO Seve,Male,Australia,1,21,44,47.72727272727273
de CRUZ Peter,Male,Switzerland,1,95,169,56.213017751479285
De FABIANI Francesco,Male,Italy,1,72,119,60.50420168067227
de la ROSE Jacob,Male,Sweden,1,64,118,54.23728813559322
de LAAT Itzhak,Male,Netherlands,1,21,41,51.21951219512195
de MARRE Thibaut,Male,Belgium,1,11,19,57.89473684210527
DEAN Decker,Male,United States of America,1,116,225,51.55555555555556
DEARBORN Jay,Male,Canada,1,109,215,50.697674418604656
DEHARI Dardan,Male,North Macedonia,1,2,3,66.66666666666666
DELDUCA Frank,Male,United States of America,1,116,225,51.55555555555556
DEMERS Jason,Male,Canada,1,109,215,50.697674418604656
DENISYEV Aleksandr,Male,ROC,1,108,217,49.76958525345622
DEROMEDIS Simone,Male,Italy,1,72,119,60.50420168067227
DESCHWANDEN Gregor,Male,Switzerland,1,95,169,56.213017751479285
DESHARNAIS David,Male,Canada,1,109,215,50.697674418604656
DESMET Stijn,Male,Belgium,1,11,19,57.89473684210527
DESTHIEUX Simon,Male,France,1,50,86,58.139534883720934
